SIZE_DN_DEFAULT,SIZE_DW_DEFAULT,CLASSNUMBER
0.0874,0.14,25
0.1003,0.1255,25
0.08,0.1342,25
0.2159,200000,25
0.0792,0.1751,25
0.0826,0.0804,25
0.0753,0.0762,25
0.0892,0.0959,25
0.0718,0.0698,25
0.0781,0.0819,25
0.0816,0.0864,25
0.0844,0.0871,25
0.0914,0.1132,25
0.0829,0.0804,25
0.0725,0.0814,25
0.0766,0.0929,25
0.0693,0.0766,25
0.0779,0.0688,25
0.0697,0.0685,25
0.0714,0.0749,25
0.0824,0.0926,25
0.083,0.0815,25
0.0994,0.1153,25
0.0868,0.0914,25
0.0896,0.0961,25
0.0721,0.0693,25
0.0732,0.0702,25
0.073,0.0681,25
0.0693,0.0694,25
0.0714,0.076,25
0.0728,0.0716,25
0.0876,0.0924,25
0.0781,0.0766,25
0.0836,0.0878,25
0.0737,0.0674,25
0.0829,0.0822,25
0.0865,0.1133,25
0.07,0.0691,25
0.0704,0.0598,25
0.0925,0.1263,80
0.3822,200000,80
0.0922,0.1418,80
0.0767,0.1593,80
0.086,0.1413,80
0.1003,0.1734,80
0.0992,0.1421,80
0.0823,0.079,80
0.0761,0.0611,80
0.0764,0.0715,80
0.0697,0.0549,80
0.0856,0.0992,80
0.0708,0.0551,80
0.0741,0.0568,80
0.0737,0.0666,80
0.0766,0.0838,80
0.0721,0.0591,80
0.0741,0.0606,80
0.075,0.0658,80
0.0721,0.0559,80
0.0811,0.0732,80
0.0764,0.0584,80
0.0718,0.0632,80
0.0714,0.0619,80
0.0769,0.0711,80
0.0704,0.0541,80
0.0753,0.0588,80
0.0745,0.0581,80
0.0834,0.0731,80
0.0746,0.0652,80
0.0711,0.058,80
0.0693,0.0613,80
0.0798,0.0634,80
0.0863,0.0889,80
0.0847,0.0789,80
0.073,0.0573,80
0.0741,0.0589,80
0.0724,0.0573,80
0.0759,0.0588,80
0.0721,0.0636,80
0.0823,0.0801,80
0.0737,0.0652,80
0.0736,0.0597,80
0.0704,0.0628,80
0.0761,0.0692,80
0.0704,0.0602,80
0.0721,0.0561,80
